,name,price,package_size,serving_size,calculated_calories,Total Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin D,Calcium,Iron,Potassium
161,White Queso Dip,$3.99,10 Oz,28 g,70.0,6 g,15 mg,160 mg,1 g,0 g,0 g,3 g,0.1 mcg,100 mg,0.1 mg,20 mg
162,Gluten Free Turkey Gravy,$3.99,16 Oz,60 g,52.0,4.0 g,10 mg,280 mg,4 g,0 g,2g,0 g,0.0 mcg,0 mg,0.1 mg,10 mg
163,Very Berry Granola,$3.99,12 Oz,60 g,263.0,7 g,0 mg,75 mg,45 g,4 g,16 g,5 g,0.0 mcg,20 mg,1.7 mg,150 mg
164,Dinner Rolls,$2.99,12 Oz,43 g,127.0,3.0 g,0 mg,190 mg,21 g,2g,2 g,4 g,0.0 mcg,10 mg,1.3 mg,70 mg
165,Solid White Albacore Tuna in Water Sea Salt Added,$1.99,4.5 Oz,113 g,125.0,1.0 g,40 mg,360 mg,0 g,0 g,0 g,29 g,1.2 mcg,0 mg,1.1 mg,280 mg
166,Solid White Albacore Tuna in Water No Salt Added,$1.99,4.5 Oz,113 g,125.0,1.0 g,40 mg,70 mg,0 g,0 g,0 g,29 g,1.2 mcg,0 mg,1.1 mg,280 mg
167,Sweet Chili Sauce,$1.69,10.1 Fl Oz,15 ml,20.0,0 g,0 mg,125 mg,5 g,3 g,5 g,0 g,0.0 mcg,2 mg,0 mg,5 mg
168,Organic Peeled & Cooked Chestnuts,$4.99,6.5 Oz,31 g,44.0,0 g,0 mg,10 mg,9 g,2 g,3 g,2 g,0 mcg,10 mg,0.5 mg,220 mg
169,Organic Virgin Coconut Oil,$4.99,16 Fl Oz,,0.0,,,,,,,,,,,
170,Butter with Brown Sugar & Maple Syrup,$2.99,4 Oz,14 g,88.0,8 g,20 mg,65 mg,4 g,0 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg
171,Walnut Gouda Cheese,$5.49,6 Oz,28 g,122.0,10 g,25 mg,230 mg,2g,2g,0 g,6 g,0.0 mcg,210 mg,0.0 mg,20 mg
172,Organic Fig & Honey Batard,$4.99,11.64 Oz,56 g/ about,140.5,0.5 g,0 mg,200 mg,31 g,3 g,7 g,3 g,0.0 mcg,30 mg,0.6 mg,150 mg
173,Organic Turkey Bone Broth,$3.49,17 Fl Oz,240 mL,100.0,0 g,10 mg,660 mg,1 g,0 g,2 g,24 g,0.0 mcg,20 mg,0.1 mg,350 mg
174,Teriyaki Chicken Bowl,$4.79,11.25 Oz,319 g,371.5,3.5 g,45 mg,880 mg,67 g,2 g,21 g,18 g,0.0 mcg,50 mg,1.5 mg,300 mg
175,Roti with Thai Red Curry,$4.29,10.57 Oz,300 g,833.0,53 g,0 mg,670 mg,78 g,5 g,9 g,11 g,0.0 mcg,40 mg,1.6 mg,480 mg
176,Sourdough Boules,$2.99,14 Oz,56 g,116.5,0.5 g,0 mg,310 mg,24 g,2g,0 g,4 g,0.0 mcg,10 mg,1.5 mg,40 mg
177,Rainbow's End Trail Mix Bars,$4.99,1.41 Oz,40 g,213.0,13 g,0 mg,95 mg,18 g,2 g,12 g,6 g,0.0 mcg,40 mg,1.0 mg,180 mg
178,Mushroom Risotto,$3.79,16 Oz,140 g,161.0,5.0 g,10 mg,460 mg,26 g,2 g,2 g,3 g,0.0 mcg,40 mg,0.2 mg,100 mg
179,Organic Tuscan Kale,$2.79,10 Oz,,0.0,,,,,,,,,,,
180,Fully Cooked Uncured Bacon,$6.99,3.25 Oz,18 g,91.0,7 g,20 mg,470 mg,0 g,0 g,0 g,7 g,0.0 mcg,1 mg,0.1 mg,25 mg
181,Sea Salt Chocolate Chunk Cookies,$4.99,10.58 Oz,50 g,221.0,9 g,25 mg,180 mg,32 g,2 g,20 g,3 g,0.7 mcg,20 mg,1.3 mg,30 mg
182,Gluten Free Chocolate Chunk Cookies,$4.99,10.58 Oz,50 g,223.0,11 g,30 mg,210 mg,29 g,1 g,16 g,2 g,0.8 mcg,30 mg,1.4 mg,100 mg
183,Nuts About Elote Mix,$4.49,9 Oz,27 g,140.0,8 g,0 mg,300 mg,14 g,1 g,2 g,3 g,0.0 mcg,10 mg,1.1 mg,100 mg
184,Cinnamon Sugar Cashews,$4.99,10 Oz,30 g,172.0,12 g,0 mg,55 mg,11 g,1 g,5 g,5 g,0.0 mcg,20 mg,1.5 mg,160 mg
185,"Thick, Bold & Spicy Red Sauce",$3.99,16 Oz,64 g,108.0,8 g,0 mg,470 mg,8 g,1 g,5 g,1 g,0.0 mcg,20 mg,0.6 mg,270 mg
186,Halloween Sprinkle,$1.99,3.5 Oz,4 g,16.0,0 g,0 mg,0 mg,4 g,0 g,4 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
187,Enchilada Sauce,$4.49,24 Oz,60 g,32.5,0.5 g,0 mg,420 mg,5 g,2g,2 g,2g,0.0 mcg,10 mg,0.3 mg,150 mg
188,Thai Style Peanut Dressing,$3.99,12 Fl Oz,30 mL,115.0,7 g,0 mg,220 mg,11 g,2g,10 g,2 g,0.0 mcg,10 mg,0.4 mg,90 mg
189,Coffee Panna Cotta,$3.49,7.04 Oz,100 g,235.0,15 g,90 mg,200 mg,22 g,0 g,19 g,3 g,5.1 mcg,100 mg,0.0 mg,140 mg
190,Red Leicester Cheese,$4.99,6.3 Oz,28 g,113.0,9 g,30 mg,220 mg,2 g,0 g,0 g,6 g,0.1 mcg,200 mg,0.1 mg,20 mg
191,Gluten Free Baguette,$4.99,10 Oz,56 g/,124.0,4.0 g,0 mg,220 mg,20 g,1 g,0 g,2 g,0.0 mcg,10 mg,0.8 mg,10 mg
192,Wheat Crisp Crackers,$2.49,9 Oz,30 g,128.0,4.0 g,0 mg,210 mg,21 g,2 g,4 g,2 g,0.0 mcg,10 mg,0.9 mg,20 mg
193,Organic Coconut Crunchy Clusters,$2.99,5.3 Oz,35 g,216.0,16 g,0 mg,80 mg,15 g,3 g,10 g,3 g,0.0 mcg,20 mg,0.8 mg,190 mg
194,Hoisin Sauce,$1.99,10.23 Oz,36 g,93.0,1.0 g,0 mg,860 mg,19 g,0 g,17 g,2 g,0.0 mcg,40 mg,0.4 mg,90 mg
195,Chile Lime Flavored Fried Pork Rinds,$2.49,3 Oz,14 g,72.0,4.0 g,15 mg,330 mg,0 g,0 g,0 g,9 g,0.0 mcg,10 mg,0.2 mg,30 mg
196,Organic Farfalline Pasta,$1.99,1 Lb,56 g,192.5,0.5 g,0 mg,0 mg,40 g,2 g,1 g,7 g,0.0 mcg,10 mg,0.6 mg,140 mg
197,Sugar Bee® Apples,$4.49,2 Lb,,0.0,,,,,,,,,,,
198,Caesar Broccoli Bake Kit,$4.99,14.15 Oz,100 g,178.0,14 g,15 mg,350 mg,9 g,2 g,2 g,4 g,0.1 mcg,80 mg,0.7 mg,240 mg
199,Limone Premuto Extra Virgin Olive Oil,$7.99,8.45 Fl Oz,15 mL,117.0,13 g,0 mg,0 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
200,Bourbon Vanilla Beans,$2.99,1 Each,,0.0,,,,,,,,,,,
201,Almond Paste,$3.99,7 Oz,39 g,180.0,8 g,0 mg,0 mg,24 g,2 g,20 g,3 g,0.0 mcg,40 mg,0.7 mg,110 mg
202,Double Fold Alcohol Free Bourbon Vanilla Flavoring,$7.99,3.55 Fl Oz,,0.0,,,,,,,,,,,
203,Chile Seasoned Dried Mango,$2.99,6 Oz,39 g,132.0,0 g,0 mg,120 mg,31 g,3 g,16 g,2g,0.0 mcg,40 mg,0.5 mg,260 mg
204,Dark Chocolate Chips No Sugar Added,$3.99,8 Oz,30 g,171.0,11 g,0 mg,0 mg,16 g,2 g,0 g,2 g,0.0 mcg,20 mg,0.3 mg,110 mg
205,Barebells Pumpkin Spice Protein Bar,$2.29,1.94 Oz,,0.0,,,,,,,,,,,
206,Organic Pasture Raised Large Brown Eggs,$6.99,1 Doz,,0.0,,,,,,,,,,,
207,Delicata Squash,$1.49,1 Each,,0.0,,,,,,,,,,,
208,Organic Maple Butter,$4.99,7 Oz,40 g,136.0,0 g,0 mg,0 mg,34 g,0 g,33 g,0 g,0.0 mcg,40 mg,0.2 mg,100 mg
209,Pumpkin & Spice Snickerdoodle Cookie Mix,$3.99,17.57 Oz,23 g,129.0,5.0 g,20 mg,85 mg,19 g,0 g,11 g,2 g,0.1 mcg,10 mg,0.6 mg,60 mg
210,Chicken Uncured Bacon Ranch Dip,$4.99,12 Oz,31 g,88.0,8 g,20 mg,180 mg,1 g,0 g,2g,3 g,0.1 mcg,50 mg,0.1 mg,80 mg
211,Sweet Chili Mango Complete Salad Kit,$3.99,11.25 Oz,100 g,138.0,6 g,0 mg,240 mg,18 g,3 g,9 g,3 g,0.0 mcg,50 mg,1.2 mg,280 mg
212,Spaghetti Squash,$2.49,1 Each,,0.0,,,,,,,,,,,
213,Sugar Bee® Apple,$1.29,1 Each,,0.0,,,,,,,,,,,
214,10 Minute Farro,$1.99,8.8 Oz,45 g,165.0,1.0 g,10 mg,0 mg,34 g,2 g,0 g,5 g,0.0 mcg,10 mg,2 mg,170 mg
215,Savory Squash Pastry Bites,$5.49,9 Oz,85 g,666.0,42 g,115 mg,830 mg,56 g,4 g,5 g,16 g,0.1 mcg,220 mg,4.4 mg,210 mg
216,All Butter Apple Shortbread Cookies,$3.49,4.93 Oz,28 g,138.0,6 g,15 mg,60 mg,19 g,0 g,8 g,2 g,0.1 mcg,0 mg,0.0 mg,10 mg
217,Caramelized Onion Goat's Milk Cheese,$2.99,4 Oz,28 g,76.5,4.5 g,0 mg,0 mg,5 g,0 g,4 g,4 g,,,,
218,White Stilton Cheese with Apple & Pear,$11.99,1 Lb,28 g,104.0,8g,20mg,230mg,3g,2g,2g,5g,0mcg,60mg,0.1mg,30mg
219,Pumpkin Loaf,$4.99,15.25 Oz,54 g,192.0,8 g,30 mg,210 mg,28 g,2g,15 g,2 g,0.1 mcg,30 mg,0.4 mg,40 mg
220,Pumpkin Spice Mini Sheet Cake,$5.49,18 Oz,85 g,312.0,16 g,60 mg,310 mg,39 g,1 g,29 g,3 g,0.4 mcg,40 mg,1.4 mg,110 mg
221,Fall Leaf Corn Tortilla Chips,$3.99,14 Oz,28 g,139.0,7 g,0 mg,65 mg,17 g,2 g,2 g,2 g,0 mcg,0 mg,0.6 mg,100 mg
222,Crunchy Pops,$2.49,5 Oz,28 g,111.5,3.5g,0mg,260mg,19g,0g,0g,1g,0.0mcg,50mg,0.3mg,40mg
223,Sweet Potato Habanero Hot Sauce,$2.99,5 Fl Oz,5 mL,8.0,0 g,0 mg,10 mg,2 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg
224,Pizza Sauce,$1.99,14 Oz,62 g,28.0,0 g,0 mg,310 mg,6 g,2 g,4 g,1 g,0.0 mcg,10 mg,0.4 mg,280 mg
225,Gluten Free Cheese Pizza,$5.49,11.6 Oz,164 g,781.0,33 g,115 mg,1490 mg,88 g,4 g,11 g,33 g,0.4 mcg,780 mg,1.8 mg,660 mg
226,Freeze Dried Tart Cherries,$3.99,1.2 Oz,34 g,132.0,0 g,0 mg,5 mg,32 g,2 g,21 g,1 g,0.0 mcg,20 mg,0.4 mg,160 mg
227,Dark Chocolate Ganache Mini Sheet Cake,$4.99,18 Oz,85 g,324.0,16 g,40 mg,270 mg,42 g,1 g,32 g,3 g,,,,
228,Chantilly Cream Vanilla Bean Mini Sheet Cake,$4.99,18 Oz,85 g,351.0,19 g,50 mg,250 mg,43 g,0 g,34 g,2 g,0.2 mcg,20 mg,0.6 mg,30 mg
229,Pound Plus Milk Chocolate Bar,$6.99,17.6 Oz,25 g,136.0,8 g,10 mg,15 mg,15 g,2 g,14 g,1 g,0.3 mcg,40 mg,1.2 mg,90 mg
230,Pound Plus Milk Chocolate Bar with Almonds,$6.99,17.6 Oz,25 g,140.0,8 g,10 mg,10 mg,14 g,3 g,12 g,3 g,0 mcg,50 mg,0.7 mg,110 mg
231,Pound Plus 72% Cacao Dark Chocolate,$6.99,17.6 Oz,25 g,138.0,10 g,0 mg,0 mg,10 g,4 g,7 g,2 g,0.4 mcg,10 mg,5.1 mg,220 mg
232,Chile Crackers,$2.99,5 Oz,28 g,111.0,3.0 g,0 mg,780 mg,18 g,2g,2 g,3 g,0.0 mcg,0 mg,0.1 mg,30 mg
233,Black Beans,$0.99,15.5 Oz,125 g,96.0,0 g,0 mg,450 mg,18 g,4 g,2 g,6 g,0.0 mcg,40 mg,1.4 mg,420 mg
234,"Crispy, Crunchy Coated Peanuts",$2.79,8 Oz,30 g,136.5,4.5 g,0 mg,55 mg,20 g,2 g,5 g,4 g,0.0 mcg,10 mg,0.6 mg,90 mg
235,Unexpected Cheddar Cheese & Turkey Sausage Egg White Bites,$3.79,4.2 Oz,119 g,177.0,9 g,30 mg,520 mg,7 g,0 g,0 g,17 g,2.5 mcg,140 mg,0.3 mg,70 mg
236,Point Reyes TomaRashi Artisan Cheese,$5.99,6 Oz,,0.0,,,,,,,,,,,
237,Sliced Seedy Multigrain Bread,$3.49,16 Oz,56 g,157.0,5 g,0 mg,290 mg,22 g,3 g,2g,6 g,0.0 mcg,20 mg,1.8 mg,100 mg
238,Brioche Style Liège Waffles,$3.99,11.64 Oz,55 g,249.0,13 g,20 mg,220 mg,30 g,1 g,14 g,3 g,0.0 mcg,10 mg,0.6 mg,60 mg
239,Ranch Seasoned Cashews,$3.99,8 Oz,32 g,195.0,15 g,0 mg,100 mg,10 g,1 g,2 g,5 g,0.0 mcg,20 mg,1.9 mg,200 mg
240,Everything but the Kitchen Sink Cookie Mix,$4.49,15 Oz,24 g,148.0,8 g,25 mg,115 mg,17 g,2g,8 g,2 g,0.1 mcg,10 mg,0.8 mg,50 mg
241,Spicy Squiggly Knife Cut Noodles,$4.99,15.9 Oz,113 g,459.0,15 g,0 mg,700 mg,66 g,3 g,8 g,15 g,0.0 mcg,100 mg,1.5 mg,210 mg
242,Coffee Mochi,$4.99,6.8 Oz,192 g,408.0,12 g,40 mg,65 mg,69 g,0 g,56 g,6 g,0.4 mcg,90 mg,0.4 mg,200 mg
243,Gluten Free Chocolate Chip Cookies,$4.99,7 Oz,30 g,147.0,7 g,20 mg,115 mg,19 g,0 g,11 g,2 g,0.0 mcg,10 mg,0.3 mg,30 mg
244,Milk Chocolate Covered Gummy Bears,$3.99,8 Oz,32 g,131.5,3.5 g,0 mg,10 mg,23 g,16 g,17 g,2 g,0.0 mcg,30 mg,0.2 mg,30 mg
245,Turkey Chili with Beans,$2.69,15 Oz,425 g,436.0,12 g,50 mg,1380 mg,53 g,26 g,14 g,29 g,0.0 mcg,210 mg,12.4 mg,260 mg
246,Ponzu Sauce,$3.99,12.17 Fl Oz,15 mL,12.0,0 g,0 mg,420 mg,1 g,0 g,1 g,2 g,0.0 mcg,0 mg,0.1 mg,40 mg
247,Crunchy Chili Onion Sprinkle Seasoning Blend,$1.99,2.64 Oz,0.9 g,0.0,0 g,0 mg,105 mg,0 g,0 g,0 g,0 g,0.0 mcg,0 mg,0.0 mg,10 mg
248,Chicken Sausage Breakfast Bowl,$4.29,7 Oz,198 g,383.0,27 g,400 mg,690 mg,3 g,2 g,0 g,32 g,1.4 mcg,300 mg,2.6 mg,260 mg
249,Mocha Latte Pretzels,$2.99,7 Oz,30 g,142.0,6 g,0 mg,160 mg,20 g,2 g,14 g,2 g,0.0 mcg,30 mg,0.4 mg,100 mg
250,Gluten Free Blueberry Muffins,$5.99,14 Oz,99 g,324.0,16 g,60 mg,250 mg,41 g,2g g,22 g,4 g,0.4 mcg,90 mg,0.7 mg,90 mg
251,Kumato Brown Tomatoes,$3.69,16 Oz,,0.0,,,,,,,,,,,
252,Yellow Squash,$2.29,16 Oz,,0.0,,,,,,,,,,,
253,Organic Silver Dollar Pancakes,$3.29,11.64 Oz,110 g,237.0,5 g,25 mg,300 mg,42 g,3 g,8 g,6 g,0.1 mcg,50 mg,0.9 mg,110 mg
254,Organic Silver Dollar Pancakes,$3.29,11.3 Oz,110 g,647.0,7 g,5 mg,790 mg,124 g,5 g,30 g,22 g,0 mcg,220 mg,6.1 mg,400 mg
255,Tikka Masala Curry Sauce,$2.29,8.8 Oz,125 g,194.0,14 g,0 mg,400 mg,11 g,2 g,5 g,6 g,0.0 mcg,50 mg,2.2 mg,370 mg
256,Pita Chips,$2.49,6 Oz,28 g,123.0,3.0 g,0 mg,150 mg,20 g,2 g,2 g,4 g,0.0 mcg,10 mg,0.4 mg,40 mg
257,Mango Sticky Rice Crisps,$3.29,4.51 Oz,28 g,134.0,6 g,0 mg,65 mg,19 g,2 g,9 g,1 g,0.0 mcg,20 mg,0.1 mg,40 mg
258,Italian Whole Peeled Tomatoes with Basil Leaf,$2.99,28 Oz,115 g,36.0,0 g,0 mg,45 mg,7 g,2 g,6 g,2 g,0.0 mcg,20 mg,0.6 mg,230 mg
259,Eliros Extra Virgin Olive Oil,$14.99,33.8 Fl Oz,,0.0,,,,,,,,,,,
260,Dark Chocolate Dipped French Butter Cookies,$2.99,4.76 Oz,27 g,139.0,7 g,10 mg,30 mg,17 g,1 g,9 g,2 g,0.5 mcg,10 mg,2.2 mg,80 mg
261,Yuzu Miso Topping & Spread,$3.99,7.37 Oz,20 g,52.0,0 g,0 mg,180 mg,11 g,2 g,9 g,2 g,0.0 mcg,10 mg,0.1 mg,10 mg
262,Apricot Cardamom Spread,$2.99,7.57 Oz,15 g,32.0,0 g,0 mg,0 mg,8 g,0 g,7 g,0 g,0.0 mcg,0 mg,0.0 mg,20 mg
263,Crunchy Jicama Slaw,$4.99,11.5 Oz,100 g,119.0,7 g,0 mg,200 mg,11 g,4 g,5 g,3 g,0.0 mcg,20 mg,0.7 mg,280 mg
264,Simply Amazing Soft Dried Apricots,$4.79,1 Lb,40 g,92.0,0 g,0 mg,0 mg,22 g,3 g,21 g,1 g,0.0 mcg,30 mg,0.4 mg,430 mg
265,Vanilla Bean Whole Milk Greek Yogurt,$5.49,32 Oz,170 g,179.0,7 g,30 mg,65 mg,17 g,0 g,14 g,12 g,0.0 mcg,130 mg,0.1 mg,180 mg
266,Carrot Mini Sheet Cake,$5.49,18 Oz,85 g,312.0,16 g,45 mg,280 mg,39 g,2 g,30 g,3 g,0.0 mcg,20 mg,0.4 mg,80 mg
267,Cracker Assortment,$3.99,13.8 Oz,18 g,87.5,3.5 g,0 mg,160 mg,12 g,2 g,1 g,2 g,0.0 mcg,10 mg,0.7 mg,40 mg
268,Pumpkin Butter,$2.99,10 Oz,18 g,40.0,0 g,0 mg,0 mg,10 g,0 g,9 g,0 g,0.0 mcg,0 mg,0.1 mg,0 mg
269,Caesar Salad with White Chicken Meat,$4.99,9 Oz,100 g,424.0,28 g,45 mg,960 mg,25 g,3 g,5 g,18 g,0.0 mcg,120 mg,2 mg,340 mg
270,Flour Tortillas,$1.69,24 Oz,,0.0,,,,,,,,,,,
271,Meyer Lemon Cookie Thins,$4.49,9 Oz,28 g,108.0,4.0 g,5 mg,115 mg,17 g,0 g,9 g,1 g,0.0 mcg,0 mg,0.7 mg,0 mg
272,Pizza Seasoned Crackers,$2.49,4.22 Oz,24 g,103.5,3.5 g,0 mg,410 mg,16 g,2 g,2 g,2 g,0.0 mcg,20 mg,0.4 mg,100 mg
273,Ginger Shrimp Lo Mein,$5.99,16 Oz,151 g,162.0,6 g,30 mg,580 mg,20 g,1 g,2 g,7 g,0.0 mcg,20 mg,0.3 mg,80 mg
274,Smoked Ghost Pepper Cheddar Cheese,$7.99,1 Lb,28 g,104.0,8g,20mg,230mg,2g,0g,0g,6g,,,,
275,Peach Raspberry Crisp,$5.49,15 Oz,106 g,239.0,7 g,15 mg,50 mg,42 g,2 g,29 g,2 g,0.0 mcg,10 mg,0.9 mg,120 mg
276,Chocolate Brooklyn Babka,$5.99,18 Oz,55 g,252.0,12g,50mg,120mg,32g,2g,15g,4g,0mcg,10mg,0.8mg,50mg
277,Roasted Corn,$2.79,16 Oz,93 g,110.5,2.5 g,0 mg,10 mg,19 g,4 g,7 g,3 g,0.0 mcg,0 mg,0.4 mg,240 mg
278,Carb Savvy Tortillas made with Whole Wheat,$3.49,9.8 Oz,28 g,61.5,1.5 g,0 mg,125 mg,9 g,6 g,0 g,3 g,0.0 mcg,40 mg,0.4 mg,20 mg
279,Sliced Black Truffle Monterey Jack Cheese,$4.99,7.5 Oz,21 g,74.0,6 g,20 mg,160 mg,0 g,0 g,0 g,5 g,0.2 mcg,200 mg,0.1 mg,20 mg
280,Peanut Butter Pillows,$2.99,5 Oz,30 g,114.0,2.0 g,0 mg,45 mg,22 g,0 g,18 g,2 g,0.0 mcg,0 mg,0.1 mg,30 mg
281,Green Tea and Yuzu Spread,$3.99,7.57 Oz,15 g,32.0,0 g,0 mg,0 mg,8 g,0 g,7 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
282,Organic Apple Cinnamon Fruit Sauce Crushers,$2.99,12.7 Oz,90 g,44.0,0 g,0 mg,0 mg,11 g,2 g,8 g,0 g,0.0 mcg,30 mg,0.5 mg,150 mg
283,Organic Peanut Butter & Cocoa Crunch,$3.49,10 Oz,40 g,166.5,2.5 g,0 mg,160 mg,33 g,2 g,11 g,3 g,0.0 mcg,10 mg,0.9 mg,90 mg
284,Uncured Beef Hot Dogs,$3.99,11 Oz,52 g,92.0,4.0 g,25 mg,530 mg,6 g,0 g,0 g,8 g,0.0 mcg,10 mg,1.2 mg,140 mg
285,California Roll,$5.99,7.22 Oz,205 g,341.0,9 g,15 mg,730 mg,57 g,2 g,10 g,8 g,0.0 mcg,70 mg,0.6 mg,330 mg
286,Vegetable Roll,$5.99,6.53 Oz,185 g,235.5,3.5 g,0 mg,810 mg,46 g,3 g,11 g,5 g,0.1 mcg,50 mg,1.1 mg,250 mg
287,Crispy Jalapeño Pieces,$2.99,5.5 Oz,7 g,46.5,2.5 g,0 mg,25 mg,4 g,0 g,0 g,2 g,0.0 mcg,0 mg,0.1 mg,10 mg
288,Organic Beets,$1.99,1 Lb,,0.0,,,,,,,,,,,
289,Shredded Organic Mozzarella Cheese,$4.99,8 Oz,28 g/,81.0,5 g,15 mg,210 mg,2 g,2 g,0 g,7 g,0 mcg,190 mg,0 mg,40 mg
290,Kosher Dill Pickles,$2.99,24 Fl Oz,28 g,8.0,0 g,0 mg,290 mg,2 g,0 g,0 g,0 g,0.2 mcg,20 mg,0.2 mg,30 mg
291,Lemon Flower Cookies,$5.99,16 Oz,25 g,143.0,7 g,5 mg,60 mg,18 g,0 g,7 g,2 g,0.0 mcg,10 mg,0.5 mg,20 mg
292,Green Olive Flats Italian Lingue Crackers,$2.99,5.29 Oz,28 g,125.0,5 g,0 mg,180 mg,17 g,2 g,2 g,3 g,0.0 mcg,10 mg,0.3 mg,40 mg
293,"Angus Chuck, Brisket & Sirloin Beef Patties",$9.99,21.2 Oz,151 g,463.0,39 g,95 mg,65 mg,0 g,0 g,0 g,28 g,0.2 mcg,20 mg,2.6 mg,360 mg
294,Peanut Butter with Honey,$2.99,16 Oz,32 g,195.0,15 g,0 mg,120 mg,8 g,2 g,3 g,7 g,0.0 mcg,20 mg,0.5 mg,190 mg
295,Organic Mango Vinaigrette Dressing,$3.99,12 Fl Oz,30 mL,91.0,7 g,0 mg,120 mg,7 g,0 g,6 g,0 g,0.0 mcg,0 mg,0.1 mg,20 mg
296,Spinach & Ricotta Raviolini,$3.49,10 Oz,94 g,207.5,3.5 g,20 mg,520 mg,37 g,1 g,6 g,7 g,0.0 mcg,90 mg,0.9 mg,230 mg
297,Steamed Vegetable Soup Dumplings,$3.49,6 Oz,170 g,241.0,9 g,0 mg,620 mg,36 g,2 g,3 g,4 g,0.0 mcg,30 mg,1.5 mg,130 mg
298,Bubble Waffles,$4.49,7.05 Oz,100 g,686.0,22 g,0 mg,640 mg,116 g,3 g,37 g,6 g,0.0 mcg,80 mg,1.9 mg,190 mg
299,Dark Chocolate Covered Pistachios,$4.49,6 Oz,30 g,171.0,11 g,0 mg,80 mg,14 g,2 g,10 g,4 g,0.0 mcg,20 mg,1.7 mg,180 mg
300,Cheddar Macaroni & Cheese,$0.99,7.25 Oz,70 g,397.0,17 g,45 mg,670 mg,52 g,2 g,11 g,9 g,0.0 mcg,100 mg,2.0 mg,160 mg
301,Tropical Green Tea Instant Boba Kit,$4.99,10.58 Oz,75 g,132.0,0 g,0 mg,5 mg,33 g,0 g,21 g,0 g,0.0 mcg,10 mg,0.2 mg,30 mg
302,Panzerotti Pizza Bites,$3.99,11.29 Oz,85 g,241.0,9 g,10 mg,380 mg,32 g,1 g,2 g,8 g,0.0 mcg,110 mg,0.6 mg,180 mg
303,Pad See Ew,$3.79,10 Oz,142 g,593.0,21 g,0 mg,1170 mg,88 g,6 g,18 g,13 g,0.0 mcg,140 mg,3.0 mg,800 mg
304,Pulled Chicken Salsa Verde,$8.99,16 Oz,130 g,98.0,2.0 g,50 mg,690 mg,2 g,0 g,0 g,18 g,0.1 mcg,10 mg,0.6 mg,140 mg
305,Bacon & Eggs Shaped Sweet Gummy Candies,$1.99,6.35 Oz,33 g,116.0,0 g,0 mg,0 mg,29 g,0 g,20 g,0 g,0.0 mcg,0 mg,0.0 mg,0 mg
306,Fresh Mozzarella Cheese Snackers,$3.99,8 Oz,28 g,64.5,4.5 g,15 mg,75 mg,1 g,0 g,0 g,5 g,0.0 mcg,100 mg,0.0 mg,20 mg
307,Double Chocolate Wafer Cookies,$3.49,8.82 Oz,30 g,152.0,8 g,0 mg,390 mg,18 g,1 g,8 g,2 g,0.0 mcg,30 mg,0.0 mg,50 mg
308,Mango Cream Bars,$3.49,15 Fl Oz,140 g,741.0,29 g,130 mg,125 mg,109 g,2 g,94 g,11 g,0.5 mcg,270 mg,0.1 mg,530 mg
309,Sliced Basil & Garlic Monterey Jack Cheese,$4.99,7.5 Oz,21 g,74.0,6 g,20 mg,125 mg,0 g,0 g,0 g,5 g,0.2 mcg,200 mg,0.1 mg,20 mg
310,Crispy Battered Calamari,$5.49,16 Oz,85 g,240.0,16 g,140 mg,400 mg,14 g,2 g,0 g,10 g,4.2 mcg,10 mg,0.4 mg,90 mg
311,Caramelized Onion & Bell Pepper Turkey Patties,$5.99,16 Oz,113 g,128.0,4.0 g,80 mg,360 mg,1 g,0 g,0 g,22 g,0.5 mcg,10 mg,1.5 mg,360 mg
312,Norwegian Sourdough Rye Chips,$3.29,4.6 Oz,30 g,140.0,8 g,0 mg,140 mg,14 g,3 g,1 g,3 g,0.0 mcg,10 mg,0.6 mg,110 mg
313,Little Leaf Farms Baby Crispy Green Leaf,$3.99,4 Oz,,0.0,,,,,,,,,,,
314,Avocado Oil,$7.99,16.9 Fl Oz,15 mL,126.0,14 g,,0 mg,0 g,,,0 g,,,,
315,String Cheese,$3.99,12 Oz,,0.0,,,,,,,,,,,
316,Organic Chocolate Chip Baked Whole Grain Bar,$4.69,1.27 Oz,36 g,153.0,5 g,0 mg,75 mg,25 g,3 g,11 g,2 g,0.0 mcg,20 mg,0.9 mg,100 mg
317,Organic Iced Oatmeal Baked Whole Grain Bar,$4.69,1.27 Oz,36 g,153.0,5 g,0 mg,75 mg,25 g,3 g,10 g,2 g,0.0 mcg,20 mg,0.8 mg,90 mg
318,Mini Shrimp Bao,$4.99,10.48 Oz,74 g,171.0,3.0 g,20 mg,290 mg,30 g,1 g,8 g,6 g,0.0 mcg,20 mg,0.4 mg,60 mg
319,Seafood Boil,$9.99,22 Oz,239 g,586.0,26 g,265 mg,1040 mg,47 g,12 g,6 g,41 g,32.9 mcg,280 mg,2.4 mg,950 mg
320,Slow Roasted Tomatoes,$3.99,8.5 Oz,30 g,119.0,11g,0mg,190mg,3g,0g,1g,2g,,,,
